2017-09-15T18:47:51.887346-07:00
discharge_multiday_utm_multiple_prices.json

0 00:00:00; 0; gc_1; ; None; initialize gc_1 - grid_controller
0 00:00:00; 0; utm_1; ; None; initialize utm_1 - Utility Meter
0 00:00:00; 0; eud_1; ; None; initialize eud_1 - light
0 00:00:00; 0; gc_1; ; None; registered utm_1
0 00:00:00; 0; utm_1; ; None; registered gc_1
0 00:00:00; 0; gc_1; ; None; registered eud_1
0 00:00:00; 0; eud_1; ; None; registered gc_1
0 00:00:00; 0; utm_1; turn_on; 1; Turning on utility meter
0 00:00:00; 0; utm_1; set sell price; 0.1; set sell price
0 00:00:00; 0; eud_1; turn_on; 1; turn on eud_1
0 00:00:00; 0; eud_1; request_msg; 500.0; REQUEST to gc_1
0 00:00:01; 1; gc_1; ; None; Read MessageType.REQUEST from eud_1 with value 500.0
0 00:00:01; 1; gc_1; allocate_msg; -500.0; ALLOCATE to eud_1
0 00:00:02; 2; eud_1; ; None; Read MessageType.ALLOCATE from gc_1 with value -500.0
0 00:00:02; 2; eud_1; power_msg; 500.0; POWER to gc_1
0 00:00:03; 3; gc_1; ; None; Read MessageType.POWER from eud_1 with value 500.0
0 06:00:00; 21600; eud_1; turn_off; 0; turn off eud_1
0 06:00:00; 21600; eud_1; power_msg; 0; POWER to gc_1
0 06:00:01; 21601; gc_1; ; None; Read MessageType.POWER from eud_1 with value 0
0 08:00:00; 28800; utm_1; set sell price; 0.15; set sell price
0 08:00:00; 28800; eud_1; turn_on; 1; turn on eud_1
0 08:00:00; 28800; eud_1; power_msg; 500.0; POWER to gc_1
0 08:00:01; 28801; gc_1; ; None; Read MessageType.POWER from eud_1 with value 500.0
0 18:00:00; 64800; utm_1; set sell price; 0.05; set sell price
0 18:00:00; 64800; eud_1; turn_off; 0; turn off eud_1
0 18:00:00; 64800; eud_1; power_msg; 0; POWER to gc_1
0 18:00:01; 64801; gc_1; ; None; Read MessageType.POWER from eud_1 with value 0
1 00:00:00; 86400; utm_1; set sell price; 0.1; set sell price
1 00:00:00; 86400; eud_1; turn_on; 1; turn on eud_1
1 00:00:00; 86400; eud_1; power_msg; 500.0; POWER to gc_1
1 00:00:01; 86401; gc_1; ; None; Read MessageType.POWER from eud_1 with value 500.0
1 06:00:00; 108000; eud_1; turn_off; 0; turn off eud_1
1 06:00:00; 108000; eud_1; power_msg; 0; POWER to gc_1
1 06:00:01; 108001; gc_1; ; None; Read MessageType.POWER from eud_1 with value 0
1 08:00:00; 115200; utm_1; set sell price; 0.15; set sell price
1 08:00:00; 115200; eud_1; turn_on; 1; turn on eud_1
1 08:00:00; 115200; eud_1; power_msg; 500.0; POWER to gc_1
1 08:00:01; 115201; gc_1; ; None; Read MessageType.POWER from eud_1 with value 500.0
1 16:20:00; 145200; battery_1; current soc 0.19667499999999913, current charge pref BatteryChargingPreference.CHARGE; None; changed from BatteryChargingPreference.NEUTRAL
1 18:00:00; 151200; utm_1; set sell price; 0.05; set sell price
1 18:00:00; 151200; eud_1; turn_off; 0; turn off eud_1
1 18:00:00; 151200; eud_1; power_msg; 0; POWER to gc_1
1 18:00:01; 151201; gc_1; ; None; Read MessageType.POWER from eud_1 with value 0
2 00:00:00; 172800; gc_1; power calcs; 15999.722222222223; sum Wh out
2 00:00:00; 172800; gc_1; power calcs; 0.0; sum Wh in
2 00:00:00; 172800; gc_1; power_calcs; 0.0; battery sum charge Wh
2 00:00:00; 172800; gc_1; power_calcs; 15999.722222222199; battery sum discharge Wh
2 00:00:00; 172800; utm_1; power calcs; 0.0; sum Wh out
2 00:00:00; 172800; utm_1; power calcs; 0.0; sum Wh in
2 00:00:00; 172800; eud_1; power calcs; 0.0; sum Wh out
2 00:00:00; 172800; eud_1; power calcs; 15999.722222222223; sum Wh in
