PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,los angeles,,,,,,,,,
Location:,"LOS ANGELES INTL ARPT, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,30,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,34.1,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.3	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,12.2,1.5,0,12.2,0,0
1,1,1,0,0,12.2,4.1,0,12.2,0,0
1,1,2,0,0,11.7,2.1,0,11.7,0,0
1,1,3,0,0,11.1,0,0,11.1,0,0
1,1,4,0,0,11.1,2.6,0,11.1,0,0
1,1,5,0,0,10.6,2.1,0,10.6,0,0
1,1,6,0,0,10,1.5,0,10,0,0
1,1,7,56,31,10.6,3.1,60.927,10.296,53.765,47.183
1,1,8,84,111,12.8,3.1,170.755,15.363,152.043,143.349
1,1,9,254,131,13.3,1.5,349.245,22.175,302.85,290.274
1,1,10,405,193,13.9,2.6,584.784,27.766,495.658,476.991
1,1,11,338,192,14.4,2.1,545.44,28.898,460.253,442.8
1,1,12,197,214,15.6,1.5,423.816,28.036,359.138,344.915
1,1,13,341,192,15.6,3.1,525.568,27.496,446.016,429.038
1,1,14,508,108,16.7,4.1,519.384,27.576,438.063,421.348
1,1,15,126,76,16.7,4.1,156.771,19.73,135.834,127.51
1,1,16,46,36,15,3.6,66.401,15.287,57.848,51.185
1,1,17,0,0,15,4.1,0,15,0,0
1,1,18,0,0,14.4,4.1,0,14.4,0,0
1,1,19,0,0,14.4,3.1,0,14.4,0,0
1,1,20,0,0,13.9,2.1,0,13.9,0,0
1,1,21,0,0,12.8,0,0,12.8,0,0
1,1,22,0,0,12.8,0,0,12.8,0,0
1,1,23,0,0,12.2,0,0,12.2,0,0
1,2,0,0,0,12.2,0,0,12.2,0,0
1,2,1,0,0,11.7,1.5,0,11.7,0,0
1,2,2,0,0,11.1,0,0,11.1,0,0
1,2,3,0,0,11.7,2.1,0,11.7,0,0
1,2,4,0,0,11.7,2.1,0,11.7,0,0
1,2,5,0,0,11.7,0,0,11.7,0,0
1,2,6,0,0,11.1,2.6,0,11.1,0,0
1,2,7,3,22,11.1,2.6,20.611,9.929,18.86,12.949
1,2,8,25,108,11.7,3.1,132.58,13.218,119.892,111.925
1,2,9,8,132,12.2,2.6,131.742,14.117,119.044,111.096
1,2,10,9,217,12.8,3.6,223.141,16.613,199.448,189.618
1,2,11,9,239,12.8,4.1,245.054,17.093,218.572,208.261
1,2,12,5,225,12.8,3.6,225.494,16.933,201.274,191.398
1,2,13,7,130,12.8,5.2,126.359,14.239,114.151,106.31
1,2,14,1,172,12.8,3.1,173.136,15.593,155.474,146.7
1,2,15,2,55,12.8,5.2,50.323,12.691,45.743,39.319
1,2,16,0,19,12.8,3.6,16.823,11.648,15.375,9.529
1,2,17,0,0,12.8,1.5,0,12.8,0,0
1,2,18,0,0,12.8,4.1,0,12.8,0,0
1,2,19,0,0,12.8,3.1,0,12.8,0,0
1,2,20,0,0,12.8,2.1,0,12.8,0,0
1,2,21,0,0,12.8,6.2,0,12.8,0,0
1,2,22,0,0,12.8,8.8,0,12.8,0,0
1,2,23,0,0,12.8,9.3,0,12.8,0,0
1,3,0,0,0,13.9,10.3,0,13.9,0,0
1,3,1,0,0,13.9,7.2,0,13.9,0,0
1,3,2,0,0,13.3,4.6,0,13.3,0,0
1,3,3,0,0,12.8,3.6,0,12.8,0,0
1,3,4,0,0,11.7,6.2,0,11.7,0,0
1,3,5,0,0,11.7,4.1,0,11.7,0,0
1,3,6,0,0,11.7,6.2,0,11.7,0,0
1,3,7,352,21,11.7,6.2,172.552,13.496,142.35,133.878
1,3,8,680,39,12.8,5.2,454,20.441,387.145,372.062
1,3,9,776,51,14.4,3.1,651.206,29.3,544.281,523.878
1,3,10,876,67,14.4,1.5,851.151,38.913,682.648,656.864
1,3,11,882,76,15,4.1,921.685,35.037,754.68,725.836
1,3,12,816,72,15,6.2,854.015,29.732,717.553,690.308
1,3,13,624,91,15,6.7,672.518,25.959,574.563,553.038
1,3,14,724,61,15,6.7,626.208,24.991,534.061,514.03
1,3,15,594,46,16.1,5.2,407.246,23.588,341.967,328.259
1,3,16,254,21,15.6,6.2,137.323,17.322,112.19,104.392
1,3,17,0,0,15.6,5.2,0,15.6,0,0
1,3,18,0,0,15,4.1,0,15,0,0
1,3,19,0,0,13.9,2.6,0,13.9,0,0
1,3,20,0,0,13.3,3.1,0,13.3,0,0
1,3,21,0,0,12.8,2.1,0,12.8,0,0
1,3,22,0,0,12.2,2.6,0,12.2,0,0
1,3,23,0,0,11.7,2.6,0,11.7,0,0
1,4,0,0,0,10.6,0,0,10.6,0,0
1,4,1,0,0,9.4,0,0,9.4,0,0
1,4,2,0,0,7.2,1.5,0,7.2,0,0
1,4,3,0,0,7.2,1,0,7.2,0,0
1,4,4,0,0,7.8,3.1,0,7.8,0,0
1,4,5,0,0,7.2,1,0,7.2,0,0
1,4,6,0,0,7.8,1.5,0,7.8,0,0
1,4,7,167,30,8.9,1.5,115.736,10.712,99.434,91.911
1,4,8,472,66,10.6,4.1,370.418,17.39,321.704,308.589
1,4,9,674,99,12.8,2.6,644.75,28.207,542.234,521.906
1,4,10,560,158,13.9,3.6,693.433,29.443,582.91,561.071
1,4,11,625,163,15,3.1,802.376,33.918,660.713,635.825
1,4,12,397,247,15.6,3.6,667.307,30.876,557.766,536.867
1,4,13,425,151,15.6,3.1,566.689,29.044,477.302,459.27
1,4,14,617,95,15,5.2,593.812,25.942,504.648,485.667
1,4,15,422,65,15,4.1,337.117,22.096,286.374,274.26
1,4,16,123,26,13.9,4.6,93.201,15.002,78.95,71.859
1,4,17,0,0,12.8,3.6,0,12.8,0,0
1,4,18,0,0,11.7,2.6,0,11.7,0,0
1,4,19,0,0,12.2,2.1,0,12.2,0,0
1,4,20,0,0,12.2,1,0,12.2,0,0
1,4,21,0,0,11.7,3.6,0,11.7,0,0
1,4,22,0,0,10.6,2.6,0,10.6,0,0
1,4,23,0,0,10,2.1,0,10,0,0
1,5,0,0,0,10,2.6,0,10,0,0
1,5,1,0,0,8.9,2.6,0,8.9,0,0
1,5,2,0,0,8.3,1.5,0,8.3,0,0
1,5,3,0,0,8.3,2.1,0,8.3,0,0
1,5,4,0,0,7.8,2.1,0,7.8,0,0
1,5,5,0,0,7.8,2.6,0,7.8,0,0
1,5,6,0,0,9.4,2.1,0,9.4,0,0
1,5,7,49,32,8.3,2.6,59.61,8.185,53.296,46.723
1,5,8,29,75,9.4,2.6,92.013,10.038,84.17,76.97
1,5,9,4,71,10,3.6,66.071,10.056,60.786,54.065
1,5,10,385,206,11.7,2.6,582.861,24.769,501.109,482.252
1,5,11,294,269,13.3,1.5,599.546,30.823,501.306,482.442
1,5,12,0,258,13.3,4.1,258.283,18.677,228.724,218.154
1,5,13,50,239,13.3,4.1,303.352,18.946,268.211,256.595
1,5,14,34,97,13.3,6.2,120.223,14.568,108.245,100.533
1,5,15,8,48,11.1,4.6,47.111,10.814,43.068,36.696
1,5,16,2,14,10.6,1.5,13.105,8.894,12.04,6.256
1,5,17,0,0,10.6,3.1,0,10.6,0,0
1,5,18,0,0,10.6,6.2,0,10.6,0,0
1,5,19,0,0,10,4.1,0,10,0,0
1,5,20,0,0,9.4,5.2,0,9.4,0,0
1,5,21,0,0,8.3,5.7,0,8.3,0,0
1,5,22,0,0,8.3,5.2,0,8.3,0,0
1,5,23,0,0,8.3,4.1,0,8.3,0,0
1,6,0,0,0,8.3,4.1,0,8.3,0,0
1,6,1,0,0,8.3,4.1,0,8.3,0,0
1,6,2,0,0,8.3,5.2,0,8.3,0,0
1,6,3,0,0,8.3,7.7,0,8.3,0,0
1,6,4,0,0,8.3,5.7,0,8.3,0,0
1,6,5,0,0,8.3,7.2,0,8.3,0,0
1,6,6,0,0,8.3,6.7,0,8.3,0,0
1,6,7,2,13,8.3,6.2,12.22,7.278,11.301,5.53
1,6,8,7,56,8.3,3.1,53.939,7.825,50.003,43.495
1,6,9,7,89,8.3,4.6,85.703,8.66,79.32,72.22
1,6,10,75,134,8.9,6.2,211.733,11.438,193.553,183.868
1,6,11,71,290,10.6,5.2,386.073,16.984,344.483,330.7
1,6,12,6,99,10.6,7.7,94.339,11.334,86.338,79.093
1,6,13,1,259,10.6,5.7,265.565,14.279,239.892,229.031
1,6,14,5,108,11.1,7.7,103.658,11.865,94.617,87.197
1,6,15,1,50,11.1,3.1,44.934,10.69,41.224,34.888
1,6,16,1,14,11.1,6.7,12.738,10.198,11.676,5.898
1,6,17,0,0,11.1,6.7,0,11.1,0,0
1,6,18,0,0,10.6,6.7,0,10.6,0,0
1,6,19,0,0,10.6,5.2,0,10.6,0,0
1,6,20,0,0,11.1,6.2,0,11.1,0,0
1,6,21,0,0,11.1,5.7,0,11.1,0,0
1,6,22,0,0,11.1,6.2,0,11.1,0,0
1,6,23,0,0,11.1,1.5,0,11.1,0,0
1,7,0,0,0,10.6,5.2,0,10.6,0,0
1,7,1,0,0,10.6,6.2,0,10.6,0,0
1,7,2,0,0,10.6,3.6,0,10.6,0,0
1,7,3,0,0,10.6,4.6,0,10.6,0,0
1,7,4,0,0,10.6,3.6,0,10.6,0,0
1,7,5,0,0,10.6,4.1,0,10.6,0,0
1,7,6,0,0,11.1,3.6,0,11.1,0,0
1,7,7,1,31,11.1,4.1,31.077,10.22,28.541,22.448
1,7,8,0,118,11.1,2.6,121.689,12.44,110.83,103.062
1,7,9,1,174,11.1,4.6,174.08,13.441,157.836,149.007
1,7,10,1,233,11.7,3.6,234.132,15.86,210.002,199.908
1,7,11,0,169,11.1,3.6,159.157,13.671,144.163,135.65
1,7,12,1,169,11.1,4.6,160.079,13.221,145.289,136.75
1,7,13,1,224,10,3.1,223.555,14.084,202.119,192.222
1,7,14,1,190,10,4.6,193.203,12.913,175.588,166.339
1,7,15,0,101,11.1,3.1,100.183,12.282,91.307,83.957
1,7,16,0,17,11.1,2.1,15.037,9.815,13.855,8.037
1,7,17,0,0,10.6,4.6,0,10.6,0,0
1,7,18,0,0,10.6,5.2,0,10.6,0,0
1,7,19,0,0,10.6,3.6,0,10.6,0,0
1,7,20,0,0,10.6,4.1,0,10.6,0,0
1,7,21,0,0,10.6,4.1,0,10.6,0,0
1,7,22,0,0,11.1,1.5,0,11.1,0,0
1,7,23,0,0,11.1,2.6,0,11.1,0,0
1,8,0,0,0,10.6,2.1,0,10.6,0,0
1,8,1,0,0,9.4,1.5,0,9.4,0,0
1,8,2,0,0,7.2,2.6,0,7.2,0,0
1,8,3,0,0,6.7,1.5,0,6.7,0,0
1,8,4,0,0,6.7,1.5,0,6.7,0,0
1,8,5,0,0,5.6,1.5,0,5.6,0,0
